topic_videos/0/TITLE,topic_videos/0/URL,topic_videos/0/URL2,topic_videos/0/EBOOK_URL,topic_videos/0/TMP_VIDEO_URL
L06 : Doubt Solving Session,https://www.youtube.com/watch?v=N6Dx_mfdh_w,https://www.youtube.com/watch?v=DI8ykyF_ED8,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Teacher+Handout/L06+DOUBT+SOLVING+SESSION.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Video+/L06+DOUBT+SOLVING+SESSION.mp4
L19 : Geometry Of Shapes,https://www.youtube.com/watch?v=R6rtyWhAKCU,https://www.youtube.com/watch?v=1F7_RWOOS8k,https://ifas-video.s3.ap-south-1.amazonaws.com/MATHEMATICS/FEB2021/APTITUDE/PDF/L19+GEOMETRY+OF+SHAPES.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/MATHEMATICS/FEB2021/APTITUDE/L19+GEOMETRY+OF+SHAPES.mp4
L20 : Average And Statistics,https://www.youtube.com/watch?v=ql26ykrNrxQ,https://www.youtube.com/watch?v=ACg29bJylxs,https://ifas-video.s3.ap-south-1.amazonaws.com/MATHEMATICS/FEB2021/APTITUDE/PDF/L20+AVERAGE+AND+STATISTICS.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/MATHEMATICS/FEB2021/APTITUDE/L20+AVERAGE+AND+STATISTICS.mp4
L01 : Last Minute Suggestions,https://www.youtube.com/watch?v=WSX-QFvoA8E,https://www.youtube.com/watch?v=tPTjDjXKI4A,https://ifas-video.s3.ap-south-1.amazonaws.com/MATHEMATICS/FEB2021/APTITUDE/PDF/L21+lAST+MINUTE+SUGGESTIONS.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/MATHEMATICS/FEB2021/APTITUDE/L21+LAST+MINUTE+SUGGESTIONS.mp4
L01 : Number System-I,https://www.youtube.com/watch?v=rqT7Mj0n4rI,https://www.youtube.com/watch?v=XkQjDDOEB_Q,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Teacher+Handout/L01+NUMBER+SYSTEM+CSIR+NET+GENERAL+APTITUDE+LS.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Video+/L01+CSIR+NET+GENERAL+APTITUDE+LIFE+SCIENCE.mp4
L02 : Number System-II,https://www.youtube.com/watch?v=yXNHafiwTf0,https://www.youtube.com/watch?v=TKisZncBufM,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Teacher+Handout/L02+NUMBER+SYSTEM+II+CSIR+NET+GENERAL+APTITUDE+LS.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Video+/L02+NUMBER+SYSTEM+II+CSIR+NET+GENERAL+APTITUDE.mp4
L03 : Missing Series,https://www.youtube.com/watch?v=5p0b6y8OvMI,https://www.youtube.com/watch?v=yhboeFS69qk,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Teacher+Handout/L03+MISSING+SERIES.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Video+/GENERAL+APT+_+L03+MISSING+SERIES(1).mp4
L04 : Observational Skills I,https://www.youtube.com/watch?v=D0IT0L-XFw0,https://www.youtube.com/watch?v=MotWMFlkun0,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Teacher+Handout/L04+OBSERVATIONAL+SKILLS+I.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Video+/L04+OBSERVATIONAL+SKILLS+I.mp4
L05 : Observational Skills II,https://www.youtube.com/watch?v=wrO8PihXWRc,https://www.youtube.com/watch?v=66CCXJi-7AM,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Teacher+Handout/L05+OBSERVATIONAL+SKILLS+II.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Video+/GA+_+L05+OBSERVATIONAL+SKILLS+II.mp4
L07 : Logical Deduction,https://www.youtube.com/watch?v=wpolKNFVy2g,https://www.youtube.com/watch?v=zNuYI0J4BIk,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Teacher+Handout/L07+LOGICAL+DEDUCTION.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Video+/GA+_+L07+LOGICAL+DEDUCTION.mp4
,1052399,https://www.youtube.com/watch?v=WwFX0rNKsyQ,,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Teacher+Handout/L08+FINDING+THE+X.pdf
L09 : Problems Based On Percentage - I ,https://www.youtube.com/watch?v=OVlWh7nQI6I,https://www.youtube.com/watch?v=gAiKLTDC4iQ,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Teacher+Handout/L09+PROBLEMS+ON+PERCENTAGE+I.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Video+/GA+_+L09+PROBLEMS+BASED+ON+PERCENTAGE.mp4
L10: Problems Based On Percentage - II,https://www.youtube.com/watch?v=M0CKuu8ILfc,https://www.youtube.com/watch?v=OISo-YnMpAQ,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Teacher+Handout/L10+PROBLEMS+ON+PERCENTAGE+II.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Video+/GA+_+L10+PROBLEMS+ON+PERCENTAGE+II.mp4
L11 : Moving Object Dynamics,https://www.youtube.com/watch?v=8mg9Wi71XL0,https://www.youtube.com/watch?v=4zJUFCtmN5g,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Teacher+Handout/L11+MOVING+OBJECT+DYNAMICS.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Video+/GA+-+L11+MOVING+OBJECT+DYNAMICS.mp4
L12 : Work And Time,https://www.youtube.com/watch?v=r4TjzA8L7pU,https://www.youtube.com/watch?v=nAICClyjvKI,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Teacher+Handout/L12+WORK+AND+TIME.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Video+/GA++WORK+AND+TIME.mp4
L13 : Calender,https://www.youtube.com/watch?v=NTXpeCZPqRo,https://www.youtube.com/watch?v=XBIcs6mg5_U,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Teacher+Handout/L13+CALENDER.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Video+/L13+CALENDER.mp4
L14 : Data Interpretation I,https://www.youtube.com/watch?v=dy3i0ykJVA4,https://www.youtube.com/watch?v=mewri8ihasE,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Teacher+Handout/L14+DATA+INTERPRETATION+I.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Video+/GA+_+L14+DATA+INTERPRETATION+I.mp4
L15 : Data Interpretation II,https://www.youtube.com/watch?v=PbaKMCOukRM,https://www.youtube.com/watch?v=WFHbQnP1ak8,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Teacher+Handout/L15+DATA+INTERPRETATION+II.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/General+Aptitude/Video+/GA+L15+DATA+INTERPRETATION+II.mp4
L18 : Probability,https://www.youtube.com/watch?v=n-cf6-IEgzs,https://www.youtube.com/watch?v=PKflfGSgK70,https://ifas-video.s3.ap-south-1.amazonaws.com/MATHEMATICS/FEB2021/APTITUDE/PDF/L18+PROBABILITY.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/MATHEMATICS/FEB2021/APTITUDE/PROBABILITY.mp4
L17 : Permutation And Combination,https://www.youtube.com/watch?v=ZsfGd-yLZEQ,https://www.youtube.com/watch?v=pItLL87RXg4,https://ifas-video.s3.ap-south-1.amazonaws.com/MATHEMATICS/FEB2021/APTITUDE/PDF/L17+PERMUTATION+AND+COMBINATION.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/MATHEMATICS/FEB2021/APTITUDE/L17+PERMUTATION+AND+COMBINATION.mp4
L16 : Clock Hand Problems,https://www.youtube.com/watch?v=ZrNFKO0NyqQ,https://www.youtube.com/watch?v=CmN6zeuL4BI,https://ifas-video.s3.ap-south-1.amazonaws.com/MATHEMATICS/FEB2021/APTITUDE/PDF/L16+CLOCK+HAND+PROBLEMS.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/MATHEMATICS/FEB2021/APTITUDE/L16+CLOCK+HAND+PROBLEMS.mp4
