topic_videos/0/TITLE,topic_videos/0/URL,topic_videos/0/URL2,topic_videos/0/EBOOK_URL,topic_videos/0/TMP_VIDEO_URL
Section 01 : Principles of Taxonomy and Nomenclature,https://www.youtube.com/watch?v=4l9LbsLrtfg,https://www.youtube.com/watch?v=BpDcdr0NOnU,,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/LIFE+SCIENCE+PYQ+VIDEO+SERIES/UNIT+09+-+DIVERSITY+OF+LIFE+FORMS/Section+01+-+Principles+of+Taxonomy+and+Nomenclature.mp4
Section 02 : Classical & Quantitative Methods,https://www.youtube.com/watch?v=_MhyMV3LW1M,https://www.youtube.com/watch?v=xzGvhZFvWQM,,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/LIFE+SCIENCE+PYQ+VIDEO+SERIES/UNIT+09+-+DIVERSITY+OF+LIFE+FORMS/Section+02+-+Classical+%26+Quantitative+Methods.mp4
Section 03 : Classification of Animals,https://www.youtube.com/watch?v=tER0uDcnqDA,https://www.youtube.com/watch?v=_KGeM-H0WZk,,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/LIFE+SCIENCE+PYQ+VIDEO+SERIES/UNIT+09+-+DIVERSITY+OF+LIFE+FORMS/Section+03+-+Classification+of+Animals.mp4
Section 04 : Animal Larvae,https://www.youtube.com/watch?v=EE6CW0cj0UY,https://www.youtube.com/watch?v=QKSpKsmclfs,,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/LIFE+SCIENCE+PYQ+VIDEO+SERIES/UNIT+09+-+DIVERSITY+OF+LIFE+FORMS/Section+04+-+Animal+Larvae.mp4
Section 05 : Classification of Plants,https://www.youtube.com/watch?v=VvjtrMiZ-n4,https://www.youtube.com/watch?v=PTVWxUDj8CM,,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/LIFE+SCIENCE+PYQ+VIDEO+SERIES/UNIT+09+-+DIVERSITY+OF+LIFE+FORMS/Section+05+-+Classification+of+Plants.mp4
Section 06 : Classification of Bacteria,https://www.youtube.com/watch?v=p6ljpY1ac7o,https://www.youtube.com/watch?v=VTNTaOqM8gQ,,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/LIFE+SCIENCE+PYQ+VIDEO+SERIES/UNIT+09+-+DIVERSITY+OF+LIFE+FORMS/Section+06+-+Classification+of+Bacteria.mp4
Section 07 : Fungus,https://www.youtube.com/watch?v=-bA03gV7oM4,https://www.youtube.com/watch?v=GcrM7D4v2KQ,,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/LIFE+SCIENCE+PYQ+VIDEO+SERIES/UNIT+09+-+DIVERSITY+OF+LIFE+FORMS/Section+07+-+Fungus.mp4
Section 08 : Algae,https://www.youtube.com/watch?v=dxKDKusQrsI,https://www.youtube.com/watch?v=CvwFPDqikx4,,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/LIFE+SCIENCE+PYQ+VIDEO+SERIES/UNIT+09+-+DIVERSITY+OF+LIFE+FORMS/Section+08+-+Algae.mp4
Section 09 : Natural History Of Indian Subcontinent,https://www.youtube.com/watch?v=nc3Cmj30btc,https://www.youtube.com/watch?v=tZjuXF-cDYI,,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/LIFE+SCIENCE+PYQ+VIDEO+SERIES/UNIT+09+-+DIVERSITY+OF+LIFE+FORMS/Section+09+-+Natural+History+Of+Indian+Subcontinent.mp4
Section 10 : Common Parasite and Pathogens,https://www.youtube.com/watch?v=P95PjQ0d6gU,https://www.youtube.com/watch?v=eNED4EftTiA,,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/LIFE+SCIENCE+PYQ+VIDEO+SERIES/UNIT+09+-+DIVERSITY+OF+LIFE+FORMS/Section+10+-+Common+Parasite+and+Pathogens.mp4
Section 2 Dna Damage And Repair Machanism,https://www.youtube.com/watch?v=IoAXuNL544M,https://www.youtube.com/watch?v=OUkLSLmPAlI&feature=youtu.be,,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/LIFE+SCIENCE+PYQ+VIDEO+SERIES/MOLECULAR+BIOLOGY+/MOL+BIO+SECTION+2+DNA+DAMAGE+AND+REPAIR+MACHANISM.mp4
Section 3 - Prokaryotic Transcription Process,https://www.youtube.com/watch?v=ygjSz7mTkjc,https://www.youtube.com/watch?v=zKUc8t1EbsE,,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/LIFE+SCIENCE+PYQ+VIDEO+SERIES/MOLECULAR+BIOLOGY+/MOL+BIO+SECTION++3+-+PROKARYOTIC+TRANSCRIPTION+PROCESS.mp4
Section 4 Eukaryotic Transcription Process,https://www.youtube.com/watch?v=TToiaVzPo5g,https://www.youtube.com/watch?v=5Doc6AzhEe4,,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/LIFE+SCIENCE+PYQ+VIDEO+SERIES/MOLECULAR+BIOLOGY+/MOL+BIO+SECTION+4++EUKARYOTIC+TRANSCRIPTION+PROCESS.mp4
Section-5- 5' Capping And Polyadenylation,https://www.youtube.com/watch?v=8n6np7PvgMM,https://www.youtube.com/watch?v=5CVwaPxi438,,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/LIFE+SCIENCE+PYQ+VIDEO+SERIES/MOLECULAR+BIOLOGY+/MOL+BIO+SECTION-5-+5'+CAPPING+AND+POLYADENYLATION.mp4
 Section 7 Promoter Deletion Assay Emsa,https://www.youtube.com/watch?v=jtBqvWEZvqk,https://www.youtube.com/watch?v=yrpEilNi-e8,,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/LIFE+SCIENCE+PYQ+VIDEO+SERIES/MOLECULAR+BIOLOGY+/MOL+BIO+SECTION+7++PROMOTER+DELETION+ASSAY+EMSA.mp4
Section 8 Transfer Rna And Amino Acyl T Rna,https://www.youtube.com/watch?v=q9V-nax5pG4,https://www.youtube.com/watch?v=tUHQihsG8Fk,,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/LIFE+SCIENCE+PYQ+VIDEO+SERIES/MOLECULAR+BIOLOGY+/MOL+BIO+SECTION+8+TRANSFER+RNA+AND+AMINO+ACYL+t+RNA.mp4
 Section 9 Translation Process,https://www.youtube.com/watch?v=dCD9Ih3tKFA,https://www.youtube.com/watch?v=s4X_8x9OI1o,,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/LIFE+SCIENCE+PYQ+VIDEO+SERIES/MOLECULAR+BIOLOGY+/MOL+BIO+SECTION+9+TRANSLATION+PROCESS.mp4
 Section 10 Genetic Codon,https://www.youtube.com/watch?v=7VXUhj4RUEg,https://www.youtube.com/watch?v=CvP0xCZTYLA,,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/LIFE+SCIENCE+PYQ+VIDEO+SERIES/MOLECULAR+BIOLOGY+/MOL+BIO+SECTION+10+GENETIC+CODON.mp4
 Section 11 Post Translational Event,https://www.youtube.com/watch?v=zNxdHEGGUUM,https://www.youtube.com/watch?v=I7WEBTvCFKA,,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/LIFE+SCIENCE+PYQ+VIDEO+SERIES/MOLECULAR+BIOLOGY+/MOL+BIO+SECTION+11+POST+TRANSLATIONAL+EVENT.mp4
