topic_videos/0/TITLE,topic_videos/0/URL,topic_videos/0/URL2,topic_videos/0/EBOOK_URL,topic_videos/0/TMP_VIDEO_URL
L01 : Introduction to Ecology ,https://www.youtube.com/watch?v=WcCZCOTyNp8,https://www.youtube.com/watch?v=75ozatEcQRY,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/pdf/ECOLOGY+LECT+1+.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/video/ECOLOGY+_+INTRODUCTION+TO+ECOLOGY+LECT+1.mp4 
L02 : Environment Ecology,https://www.youtube.com/watch?v=B7mocn-1fZs,https://www.youtube.com/watch?v=eHpygM3G6JY,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/pdf/ECOLOGY+LECT+2+.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/video/ECOLOGY+_+LECT+02+ENVIRONMENT+ECOLOGY.mp4 
L03 : Organism Adaptations And Various Term In Ecology ,https://www.youtube.com/watch?v=OoFANc76Mlg,https://www.youtube.com/watch?v=GpQM2RIXdAk,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/pdf/ECOLOGY+LECT+3.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/video/L03+Ecology.mp4 
L04 : Ecological Niche I,https://www.youtube.com/watch?v=Ij0GqnRw5T8,https://www.youtube.com/watch?v=JXPv-6YOwGM,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/pdf/ECOLOGY+LECT+4.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/video/L04+ECOLOGY.mp4 
L05 : Ecological Niche II ,https://www.youtube.com/watch?v=UCsktSZcZdk,https://www.youtube.com/watch?v=MWpbXx1npXA,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/pdf/ECOLOGY+LECT+5.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/video/Lect+05+Ecology.mp4 
L06 : Population Ecology I,https://www.youtube.com/watch?v=KMsczFWryW0&feature=youtu.be,https://www.youtube.com/watch?v=mFU81TzTiRQ&feature=youtu.be,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/pdf/ECOLOGY+LECT+6.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/video/LECT+06+ECOLOGY.mp4 
L07 : Population  Ecology II,https://www.youtube.com/watch?v=bCOsU3gtL94,https://www.youtube.com/watch?v=iEmU3SjGO4U,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/pdf/ECOLOGY+LECT+7++.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/video/L07+ECOLOGY.mp4 
L08 : Population  Ecology III,https://www.youtube.com/watch?v=blqzu3d3blY,https://www.youtube.com/watch?v=Qp3UHosFTPQ,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/pdf/ECOLOGY+LECT+8++.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/video/L08+ECOLOGY.mp4 
L09 : Population  Ecology IV,https://www.youtube.com/watch?v=f--uStcq5EE,https://www.youtube.com/watch?v=zMAee2qWpiw,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/pdf/ECOLOGY+LECT+9++.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/video/L09+Ecology.mp4 
L10 : Community Ecology I,https://www.youtube.com/watch?v=S9xnk1IMGdU,https://www.youtube.com/watch?v=jwfWn-9PW1o,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/pdf/ECOLOGY+LECT+10++.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/video/L10+ECOLOGY.mp4 
L11 : Community Ecology II,https://www.youtube.com/watch?v=XBwmLkgbv7U,https://www.youtube.com/watch?v=UpUTfLLE1B0,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/pdf/ECOLOGY+LECT+11.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/video/L11+COMMUNITY+ECOLOGY+II.mp4 
L12 : Ecological Succession,https://www.youtube.com/watch?v=PJm_E8E-Afo,https://www.youtube.com/watch?v=8vOyY931vaE,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/pdf/ECOLOGY+LECT+12+.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/video/L12+ECOLOGICAL+SUCCESSION1.mp4 
L13 : Ecosystem,https://www.youtube.com/watch?v=bYoLGzoHDc0,https://www.youtube.com/watch?v=ASGwtwaZ3M4,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/pdf/ECOLOGY+LECT+13++.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/video/L13+Ecosystem.mp4 
L14 : Food Chain Food Web,https://www.youtube.com/watch?v=CublX5KvX6U,https://www.youtube.com/watch?v=tUmpZ7JkF-4,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/pdf/ECOLOGY+LECT+14++.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/video/L14+FOOD+CHAIN+FOOD+WEB.mp4 
L15 : Biotic Interactions I,https://www.youtube.com/watch?v=2z7LjvzaTgk,https://www.youtube.com/watch?v=atpekRK201c,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/pdf/ECOLOGY+LECT+15++.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/video/Lect+15+Biotic+interactions+1.mp4 
L16 : Biotic Interactions II,https://www.youtube.com/watch?v=lHuivOkZluI,https://www.youtube.com/watch?v=ZRFCH4tFQJQ,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/pdf/ECOLOGY+LECT+16++.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/video/L16+Biotic+Interactions+II.mp4 
L17 : Status of Biodiversity,https://www.youtube.com/watch?v=RNWo5tpUyzQ,https://www.youtube.com/watch?v=kBYdFrromF8,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/pdf/LECT+17++ECOLOGY.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Ecology/video/Lect+17+Ecology.mp4 
