topic_videos/0/TITLE,topic_videos/0/URL,topic_videos/0/URL2,topic_videos/0/EBOOK_URL,topic_videos/0/TMP_VIDEO_URL
L01 : Elisa Ria,https://www.youtube.com/watch?v=RQGD_NdcJhM,https://www.youtube.com/watch?v=XeAOYGi4fwI,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/Applied+Biology/Teacher+handout/ELISA+RIA+ELISPOT+111.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/Applied+Biology/video/APPLIED+BIO+LEC+1+ELISA+RIA.mp4
L02 : Nucleic Acid Hybridization,https://www.youtube.com/watch?v=P1HHZxLt-2s,https://www.youtube.com/watch?v=sBoJwA-sR34,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/Applied+Biology/Teacher+handout/L02+DPP.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/Applied+Biology/video/NUCLEIC+ACID+HYBRIDIZATION.mp4
L03 : Plant Tissue Culture,https://www.youtube.com/watch?v=eCveAMiLE5g,https://www.youtube.com/watch?v=t3WoHn2BxIg,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/Applied+Biology/Teacher+handout/l03+plant+tissue+culture.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/Applied+Biology/video/APPLIED+BIO+_+L03+_+PLANT+TISSUE+CULTURE.mp4
L04 : Transgenic Plants,https://www.youtube.com/watch?v=vuNGJf0Kq-Q,https://www.youtube.com/watch?v=lpRNw5cLMhQ,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/Applied+Biology/Teacher+handout/L04++TRANSGENIC+PLANTS.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/Applied+Biology/video/APPLIED+BIO+L04+TRANSGENIC+PLANTS.mp4
L05 : Agrobacterium Mediated Gene Transfer,https://www.youtube.com/watch?v=g8ueyuKqBG4,https://www.youtube.com/watch?v=T22OreB-mNM,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/Applied+Biology/Teacher+handout/L05+APPLIED+BIO.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/Applied+Biology/video/APPLIED+BIO+L05+AGROBACTERIUM+MEDIATED+GENE+TRANSFER.mp4
L06 : Animal Tissue Culture & Transgenic Animls,https://www.youtube.com/watch?v=b-EKaTH1Zl8,https://www.youtube.com/watch?v=G40eMxf4wDE,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/Applied+Biology/Teacher+handout/L06+ANIMAL.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/Applied+Biology/video/APPLIED+BIO+L06+ANIMAL+TISSUE+CULTURE+%26+TRANSGENIC+ANIMLS.mp4
L07 : Transgenic Animals,https://www.youtube.com/watch?v=hC2pc0ZMYmY,https://www.youtube.com/watch?v=tUFNdAZRD7g,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/Applied+Biology/Teacher+handout/L08+transgenic.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/Applied+Biology/video/APPLIED+BIO+TRANSGENIC+ANIMALS.mp4
L08 : Restriction Enzymes,https://www.youtube.com/watch?v=KdM6oTBkNZk,https://www.youtube.com/watch?v=M1Vjh4b8o2U,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/Applied+Biology/Teacher+handout/L08+Restriction+Enzymes.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/Applied+Biology/video/APPLIED+BIO+L08+RESTRICTION+ENZYMES.mp4
L09 : Vectors,https://www.youtube.com/watch?v=9lhVJIzhdWY,https://www.youtube.com/watch?v=MPG-IoOu2N0,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/Applied+Biology/Teacher+handout/L09+VECTOR.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/Applied+Biology/video/APPLIED+BIO+L09+VECTORS.mp4
L10 : Dna Cloning,https://www.youtube.com/watch?v=0CS_ftqUQvg,https://www.youtube.com/watch?v=wRKuQgSn3C4,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/Applied+Biology/Teacher+handout/L10+DNA+CLONING.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/Applied+Biology/video/APPLIED+BIO+L10+DNA+CLONING.mp4
L11 : Ploymerase Chai Reaction,https://www.youtube.com/watch?v=mLRGriYMP60,https://www.youtube.com/watch?v=VzwIDfhmH6o,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/Applied+Biology/Teacher+handout/L11+PCR.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/Applied+Biology/video/L11+APPLIED+BIO+PLOYMERASE+CHAI+REACTION.mp4
L12 : Biosensor,https://www.youtube.com/watch?v=4StCfMrde3c,https://www.youtube.com/watch?v=uE6BgJWDHJY,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/Applied+Biology/Teacher+handout/L12+BIOSENSOR.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/Applied+Biology/video/APPLIED+BIO+L12+BIOSENSOR.mp4
L13 : Hybridoma Tech Bioremediation,https://www.youtube.com/watch?v=EQdghosIst8,https://www.youtube.com/watch?v=4gbKFkEKWqo,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/Applied+Biology/Teacher+handout/L13+APPLIED+BIO.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/Applied+Biology/video/APPLIED+BIO+L13+HYBRIDOMA+TECH+BIOREMEDIATION.mp4
