topic_videos/0/TITLE,topic_videos/0/URL,topic_videos/0/URL2,topic_videos/0/EBOOK_URL,topic_videos/0/TMP_VIDEO_URL
L01 : Microscopy,https://www.youtube.com/watch?v=u6V7W72OzF8,https://www.youtube.com/watch?v=MddxTX6v60o,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Method+in+Biology/pdf/LEC-1++MICROSCOPY+(1)+(1).pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Method+in+Biology/video/LEC+1+MICROSCOPY.mp4
L02 : Facs And Radiolabeling,https://www.youtube.com/watch?v=L_XAfFozMq4,https://www.youtube.com/watch?v=L_XAfFozMq4,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Method+in+Biology/pdf/Lec+-+2+FACS+and+radiolabelling.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Method+in+Biology/video/LEC+2+FACS+AND+RADIOLABELING.mp4
L03 : Electrophysiology And Uv Vis,https://www.youtube.com/watch?v=wP2-DbEE4rU,https://www.youtube.com/watch?v=wP2-DbEE4rU,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Method+in+Biology/pdf/Lec+-+3+Electrophysiology+and+UV-Vis.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Method+in+Biology/video/LEC+++3+ELECTROPHYSIOLOGY+AND+UV+VIS.mp4
L04 : Cd Spectroscopy And Ms,https://www.youtube.com/watch?v=MF_qXtzgGwY,https://www.youtube.com/watch?v=MF_qXtzgGwY,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Method+in+Biology/pdf/Lec+-+4+CD+SPECTRO+and+Mass+spectro.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Method+in+Biology/video/LEC+++4+CD+SPEC+AND+MS.mp4
L05 : Nmr,https://www.youtube.com/watch?v=lXPWyRoU1LA,https://www.youtube.com/watch?v=lXPWyRoU1LA,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Method+in+Biology/pdf/Lec+-+5+NMR+ESR.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Method+in+Biology/video/LEC+5+NMR.mp4
L06 : Biostats -1,https://www.youtube.com/watch?v=W8iqc92c5A4,https://www.youtube.com/watch?v=W8iqc92c5A4,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Method+in+Biology/pdf/Lec+-+6+Biostats+Lec1.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Method+in+Biology/video/LEC+6+BIOSTATS+1.mp4
L07 : Biostats 2,https://www.youtube.com/watch?v=u6A_FaBzHDc,https://www.youtube.com/watch?v=u6A_FaBzHDc,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Method+in+Biology/pdf/LEC+-+7+Biostats+Lec2+(1).pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Method+in+Biology/video/LEC+7+BIOSTATS+2.mp4
L08 : Biostats 3,https://www.youtube.com/watch?v=fiTJSAFrDHk,https://www.youtube.com/watch?v=fiTJSAFrDHk,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Method+in+Biology/dpp/Lec+-+8+Biostats+and+Electrophoresis.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Method+in+Biology/video/LEC+8+BIOSTATS+3.mp4
L09 : Electrophoresis,https://www.youtube.com/watch?v=0WVSx64uML0,https://www.youtube.com/watch?v=0WVSx64uML0,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Method+in+Biology/pdf/LEC+-+9+ELECTROPHORESIS.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Method+in+Biology/video/LEC+9+ELECTROPHORESIS.mp4
L10 : Chromatography And Centrifuge,https://www.youtube.com/watch?v=nCwB2v2Rkv8,https://www.youtube.com/watch?v=nCwB2v2Rkv8,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Method+in+Biology/pdf/Lec+-+10+Chromatography+and+Cetrifugation.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Method+in+Biology/video/LEC+10+CHROMATOGRAPHY+AND+CENTRIFUGE.mp4
