topic_videos/0/TITLE,topic_videos/0/URL,topic_videos/0/URL2,topic_videos/0/EBOOK_URL,topic_videos/0/TMP_VIDEO_URL
L01 : Atoms Molecules,https://www.youtube.com/watch?v=nfJi8sSiiZU,https://www.youtube.com/watch?v=b7zS2GEM_AU,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/BIOCHEMISTRY/TEACHER+HANDOUT/L01+BIOCHEMISTRY+ATOMS+MOLECULES.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/BIOCHEMISTRY/VIDEO/L01+Biochem+Atoms+Molecules.mp4
L02 :  Bonds and interactions,https://www.youtube.com/watch?v=_ui9Dn9BMPU,https://www.youtube.com/watch?v=_ui9Dn9BMPU,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/BIOCHEMISTRY/TEACHER+HANDOUT/L02+BIOCHEMISTRY.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/BIOCHEMISTRY/VIDEO/L02+Biochemistry+Bonds+and+interactions.mp4
L03 : Solution pH,https://www.youtube.com/watch?v=ur1AfVQT6Eg,https://www.youtube.com/watch?v=ur1AfVQT6Eg,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/BIOCHEMISTRY/TEACHER+HANDOUT/L03+BIOCHEMISTRY.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/BIOCHEMISTRY/VIDEO/L03+Biochem+Solution+pH.mp4
L04 : Buffer,https://www.youtube.com/watch?v=GftwxlFGXpQ,,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/BIOCHEMISTRY/TEACHER+HANDOUT/L04+BIOCHEMISTRY.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/BIOCHEMISTRY/VIDEO/L04+Biochem+Buffer.mp4
L05 : Thermodynamics,https://www.youtube.com/watch?v=TS2lG2ZWFGM,https://www.youtube.com/watch?v=3pY72Ga6dCI,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/BIOCHEMISTRY/TEACHER+HANDOUT/L05+BIOCHEMISTRY.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/BIOCHEMISTRY/VIDEO/Lecture+5+Thermodynamics.mp4
L06 :  Bioenergetics,https://www.youtube.com/watch?v=yGNV1pPJfeM,https://www.youtube.com/watch?v=ndWR7sOawDs,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/BIOCHEMISTRY/TEACHER+HANDOUT/L06+BIOCHEMISTRY.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/BIOCHEMISTRY/VIDEO/L06+Biochem+Bioenergetics.mp4
L07 : Monosaccharides,https://www.youtube.com/watch?v=-LqNjNMhkgY,https://www.youtube.com/watch?v=2-HA2BpFz50,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/BIOCHEMISTRY/TEACHER+HANDOUT/L07+BIOCHEMISTRY.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/BIOCHEMISTRY/VIDEO/L07+Monosaccharides.mp4
L08 : Polysaccharides Simple Lipids,https://www.youtube.com/watch?v=KufVfCLiANQ,https://www.youtube.com/watch?v=fWdSR7A3Lgw,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/BIOCHEMISTRY/TEACHER+HANDOUT/L08+BIOCHEMISTRY.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/BIOCHEMISTRY/VIDEO/L08+Polysacharides+Simple+Lipids.mp4
L09: Derived Lipids nucleotides,https://www.youtube.com/watch?v=uH54TwpPtl8,https://www.youtube.com/watch?v=GlRP1o772OM,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/BIOCHEMISTRY/TEACHER+HANDOUT/L09+BIOCHEMISTRY.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/BIOCHEMISTRY/VIDEO/L09+Derived+Lipids+nucleotides.mp4
L10 : DNA Amino acid,https://www.youtube.com/watch?v=8w1q0XCTLj0,https://www.youtube.com/watch?v=OUrOn4boCNY,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/BIOCHEMISTRY/TEACHER+HANDOUT/L10+BIOCHEMISTRY.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/27+Sept+2021/BIOCHEMISTRY/VIDEO/L10+DNA+Amino+acid.mp4
