topic_videos/0/TITLE,topic_videos/0/URL,topic_videos/0/URL2,topic_videos/0/EBOOK_URL,topic_videos/0/TMP_VIDEO_URL
L01 : Introduction to Cell,https://www.youtube.com/watch?v=UVnYZhVmBdk,https://www.youtube.com/watch?v=kAyHWCCqeN8,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/Teacher+handout/lecture+1+cell.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/video/L01+Introduction+to+Cell.mp4
L02 : Cell Membrane Lipids,https://www.youtube.com/watch?v=DKZa_2QcuEg,https://www.youtube.com/watch?v=2ZN2uDhfO58,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/Teacher+handout/lecture+2+Plasma+Membrane+-+Structure.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/video/L02+CELL+MEMBRANE+LIPIDS.mp4
L03 : Cell membrane Lipids 2,https://www.youtube.com/watch?v=78f846eY7F8,https://www.youtube.com/watch?v=Y4fu42Hi9Fo,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/Teacher+handout/lecture+3+Plasma+Membrane+-+Structure+2.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/video/L03+Cell+membrane+Lipids+2.mp4 
L04 : Membrane Proteins,https://www.youtube.com/watch?v=XNsEBlGM8aA,https://www.youtube.com/watch?v=8uGgrFleInE,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/Teacher+handout/lecture+4+Plasma+Membrane+-+Structure+3.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/video/L04+Membrane+Proteins.mp4 
L05 : Cell Ion Channels,https://www.youtube.com/watch?v=PHsgS-5_uYA,https://www.youtube.com/watch?v=BZ-NUnMmCmo,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/Teacher+handout/lecture+5+Membrane+Transport.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/video/L05+Cell+Ion+Channels.mp4 
L06 : P type Pump,https://www.youtube.com/watch?v=7A34s--J2KM,https://www.youtube.com/watch?v=-W6rrB4kn1M,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/Teacher+handout/lecture+6+FD+and+Active+Transport.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/video/L06+Cell+Bio+P+type+Pump.mp4 
L07 : Cell Active co transport,https://www.youtube.com/watch?v=meiyoe40OkU,https://www.youtube.com/watch?v=jgjReNzNBpk,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/Teacher+handout/lecture+7+Active+Co+Transport.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/video/L07+Cell+Active+co+transport.mp4 
L08 : Transport of Macromolecules,https://www.youtube.com/watch?v=b0ogtrU988M,https://www.youtube.com/watch?v=Z2UVAQNMynE,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/Teacher+handout/lecture+8+Transport.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/video/L08+Transport+of+Macro+molecules.mp4 
L09 : ER Golgi Lysosomes,https://www.youtube.com/watch?v=D2e_QMWiTaI,https://www.youtube.com/watch?v=C2mLd2pnZYk,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/Teacher+handout/Lecture+9+ER+golgi+lysosome.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/video/L09+ER+Golgi+Lysosomes.mp4 
L10 : Cell Mitochondria Chloroplast,https://www.youtube.com/watch?v=1MQSbKl-gBA,https://www.youtube.com/watch?v=xcty4tuPfzM,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/Teacher+handout/Lecture+10+mitochondria+chloroplast.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/video/L10+Cell+Mitochondria+Chloroplast.mp4 
L11 : Protein Targeting,https://www.youtube.com/watch?v=ZPDTfjCWGdI,https://www.youtube.com/watch?v=-RVV1zBHLq0,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/Teacher+handout/Lecture+11+protein+sorting.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/video/L11+Protein+Targeting.mp4 
L12 : Secretory Pathway,https://www.youtube.com/watch?v=fkFtiH59dNA,https://www.youtube.com/watch?v=83Une076vYs,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/Teacher+handout/Lecture+12+secretory+pathway.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/video/L12+Secretory+Pathway.mp4  
L13 : Nuclear and Genome Organization,https://www.youtube.com/watch?v=MpC1XDEfmqk&feature=youtu.be,https://www.youtube.com/watch?v=y3F8OIkhWbc,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/Teacher+handout/Lecture+13+nucleus+genome+organization.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/video/L13+Nucleus+and+Genome+organization.mp4 
L14 : Genome Organization,https://www.youtube.com/watch?v=1YC3B-8xpjw,https://www.youtube.com/watch?v=7TDnFu_XGDg,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/Teacher+handout/Lecture+14+GENOME.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/video/L14+Cell+-+Genome+Organization.mp4 
L15 : Cytoskeleton,https://www.youtube.com/watch?v=LtmAeDTZCdo,https://www.youtube.com/watch?v=LtmAeDTZCdo,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/Teacher+handout/Lecture+15+CYTOSKELETON.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/video/L15+Cytoskeleton.mp4 
L16 : Cytoskeleton cell wall,https://www.youtube.com/watch?v=2uu4BK4d6Uk,https://www.youtube.com/watch?v=5vIDW2vKEIY,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/Teacher+handout/Lecture+16+CYTOSKELETON-CELL+WALL.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/video/L16+Cytoskeleton+cell+wall.mp4 
L17 : Cell Cycle 1,https://www.youtube.com/watch?v=c9WXcz_7ZWg,https://www.youtube.com/watch?v=09Cdy51FJ00,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/Teacher+handout/Lecture+17+Cell+cycle-1.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/video/L17+Cell+Cycle+1.mp4 
L18 : Cell Cycle Regulation,https://www.youtube.com/watch?v=Jo0bCkxtifA,https://www.youtube.com/watch?v=0PwfljTJmpg,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/Teacher+handout/Lecture+18+Cell+cycle+Regulation.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/video/L18+Cell+Cycle+Regulation.mp4 
L19 : Meiosis Microbial Physiology,https://www.youtube.com/watch?v=wDdRc8uS1YQ,https://www.youtube.com/watch?v=K9R4v4wU740,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/Teacher+handout/Lecture+19+meiosis+microbial+physio.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Biology+Unit+2/video/L19+Meiosis+Microbial+Physiology.mp4 
