topic_videos/0/TITLE,topic_videos/0/URL,topic_videos/0/URL2,topic_videos/0/EBOOK_URL,topic_videos/0/TMP_VIDEO_URL
L01 : Introduction to Replication,https://www.youtube.com/watch?v=pjE1xrHUkU4,https://www.youtube.com/watch?v=d3MwsxQeGE8,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/pdf/lec+01+introduction+to+replication+(1).pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/video/MOLECULAR+BIOLOGY+_+lec+01+introduction+to+replication.mp4 
L02 : Enzymes Involved In Replication,https://www.youtube.com/watch?v=34qyn0dwATo,https://www.youtube.com/watch?v=jfqsF_zdyek,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/pdf/LEC+02+ENZYMES+INVOLVED+IN+REPLICATION+(1).pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/video/MOLECULAR+BIOLOGY+_+LEC+02+ENZYMES+INVOLVED+IN+REPLICATION.mp4 
L03 : Replication In Prokaryotes,https://www.youtube.com/watch?v=qUa9wHuFMZ0,https://www.youtube.com/watch?v=vYmVeWlNvK8,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/pdf/Lec+03+Prokaryotic+replication+(1).pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/video/MOLECULAR+BIOLOGY+LEC+03+REPLICATION+IN+PROKARYOTES.mp4 
L04 : prokaryotic replication & eukaryotic replication,https://www.youtube.com/watch?v=JBPI77cpow4,https://www.youtube.com/watch?v=anSAJKa0UQ4,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/pdf/lec+04+prokaryotic+%26+eukaryotic+replication+(1).pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/video/MOLECULAR+lec+04+prokaryotic+replication+%26+eukaryotic+replication.mp4 
L05 : End replication & plasmid,https://www.youtube.com/watch?v=0rixgP0LyjM,https://www.youtube.com/watch?v=vpcgl_SteNA,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/pdf/lec+05+-3.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/video/MOLECULAR+lec+05+end+replication+%26+plasmid.mp4 
L06 : DNA Damage,https://www.youtube.com/watch?v=3SdMBeelhrE&feature=youtu.be,https://www.youtube.com/watch?v=TNu9ChPTHE4&feature=youtu.be,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/pdf/lec+06+DNA+damage.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/video/LEC+06+DNA+DAMAGE.mp4 
L07 : DNA Repair,https://www.youtube.com/watch?v=grcAiSmo5PM,https://www.youtube.com/watch?v=GsE-ppVF4KM,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/pdf/lec+07+DNA+Repair-1.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/video/L07+MOLECULAR+BIOLOGY1.mp4 
L08 : Repair and transcription introduction,https://www.youtube.com/watch?v=t9fQkT1Ofpg,https://www.youtube.com/watch?v=ISDo_s3wQ1s,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/pdf/lec+08+repair+%26+introduction+to+transcription.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/video/lec+08+repair+and+transcription+introduction1.mp4 
L09 : prokaryotic transcription,https://www.youtube.com/watch?v=E-jBjOgIuCM,https://www.youtube.com/watch?v=kwysXvjuuHI,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/pdf/LEC+09+prokaryotic+transcription+(1).pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/video/lec+09+prokaryotic+transcription2.mp4 
L10 : Transcription,https://www.youtube.com/watch?v=9MX1Lv4HNds,https://www.youtube.com/watch?v=SaR6QOreio4,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/pdf/lec+10+eukaryotic+transcription+(1).pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/video/L10+MOLECULAR+BIOLOGY.mp4 
L11 : Rna Splicing & Introduction To Translation,https://www.youtube.com/watch?v=jUEqDY6KwNw,https://www.youtube.com/watch?v=IycnRqyLzck,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/pdf/LEC+11+RNA+SPLICING+%26+INTRODUCTION+TO+TRANSLATION+(2).pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/video/lec+11+RNA+SPLICING+%26+INTRODUCTION+TO+TRANSLATION.mp4 
L12 : Prokaryotic Translation,https://www.youtube.com/watch?v=KVnDUiW2b7Y,https://www.youtube.com/watch?v=yKIda8RpyJ8,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/pdf/lec+12+prokaryotic+translation+(2).pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/video/lec+12+prokaryotic+translation1.mp4 
L13 : Translation ,https://www.youtube.com/watch?v=HPR3Q55X-cI,https://www.youtube.com/watch?v=kyoqJfsHvYg,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/pdf/LEC+13+TRANSLATION+(2).pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/video/MOL+BIO+L13+TRANSLATION.mp4 
L14 : The Lac Operon,https://www.youtube.com/watch?v=HveBFM0kheU,https://www.youtube.com/watch?v=ogkc-t_W8fA,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/pdf/lec+14+lac+operon+(1).pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/video/LEC+14+the+lac+operon+33333333.mp4 
L15 : The Ara Operon ,https://www.youtube.com/watch?v=FKvKGbUsnXs,https://www.youtube.com/watch?v=vdi00viq_Sg,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/pdf/LEC+15+the+ara+%26+trp+operon+(1).pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Molecular+biology/video/lec+15+the+ara+operon+part+1+2.mp4 
