topic_videos/0/TITLE,topic_videos/0/URL,topic_videos/0/URL2,topic_videos/0/EBOOK_URL,topic_videos/0/TMP_VIDEO_URL
L01 : Introduction Of Cell Signaling ,https://www.youtube.com/watch?v=CB1QzuPwnl4,https://www.youtube.com/watch?v=owof-mBlP4c,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Signaling/pdf/CELL+SIG+LIVE+LEC+1+PDF.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+July+Batch+/Cell+Signaling+%26++Immunology+/video/cell+signaling+intro.mp4
L02 : GPCR,https://www.youtube.com/watch?v=MYHtPBXZxck,https://www.youtube.com/watch?v=__hm0428GGc,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Signaling/pdf/CELL+SIG+LIVE+LEC+2+PDF.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+July+Batch+/Cell+Signaling+%26++Immunology+/video/CELL+SIG+LIVE+LEC+2+GPCR.mp4
L03 : Rtk7 Nrtk Receptor,https://www.youtube.com/watch?v=Q7Bk0lNuBow,https://www.youtube.com/watch?v=AAiUiLuE7MA,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Signaling/pdf/CELL+SIG+LEC+3+PDF.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+July+Batch+/Cell+Signaling+%26++Immunology+/video/CELL+SIG+LIVE+LEC+3+RTK7+NRTK+RECEPTOR.mp4
L04 : Tnf Receptor,https://www.youtube.com/watch?v=5O_u4iOtLuM,https://www.youtube.com/watch?v=8WUI1ARe_NM,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Signaling/pdf/CELL+SIG+LIVE+LEC+4+PDF.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+July+Batch+/Cell+Signaling+%26++Immunology+/video/CELL+SIG+LIVE+LEC+4+TNF+RECEPTOR.mp4
L05 : Cell To Cell & Matrix Intrn,https://www.youtube.com/watch?v=38YhdN32GWU,https://www.youtube.com/watch?v=1KGH3Ncr8sA,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Signaling/pdf/CELL+SIG+LIVE+LEC+5+PDF.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+July+Batch+/Cell+Signaling+%26++Immunology+/video/CELL+SIG+LIVE+LEC+5+CELL+TO+CELL+%26+MATRIX+INTRN.mp4
L06 : Cancer Introduction,https://www.youtube.com/watch?v=YnFQnOA6v6E,https://www.youtube.com/watch?v=Xrtp_zzMAZU,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Signaling/pdf/CELL+SIG+LIVE+LEC+6+PDF.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+July+Batch+/Cell+Signaling+%26++Immunology+/video/CELL+SIG+LIVE+LEC+6+CANCER+INTRODUCTION.mp4
L07 : Tsg & Proto Oncogenes,https://www.youtube.com/watch?v=DGLx0iW3EtY,https://www.youtube.com/watch?v=_K_I65goLp4,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Signaling/pdf/CELL+SIG+LIVE+LEC+7+PDF.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+July+Batch+/Cell+Signaling+%26++Immunology+/video/CELL+SIG+LIVE+LEC+7+TSG+%26+PROTO+ONCOGENES.mp4
L08 : Cancer Treatment,https://www.youtube.com/watch?v=ydamnxFu6Vs,https://www.youtube.com/watch?v=-3YvLXriW60,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Signaling/pdf/CELL+SIG+LIVE+LEC+8+PDF.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+July+Batch+/Cell+Signaling+%26++Immunology+/video/CELL+SIG+LIVE+LEC+8+CANCER+TREATMENT.mp4
L09 : Immunity Intro,https://www.youtube.com/watch?v=OKdiEObwmRc,https://www.youtube.com/watch?v=YbpItCnD34U,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Signaling/pdf/CELL+SIG+LIVE+LEC+9+PDF.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+July+Batch+/Cell+Signaling+%26++Immunology+/video/CELL+SIG+LIVE+LEC+9+IMMUNITY+INTRO.mp4
L11 : Antigens,https://www.youtube.com/watch?v=70OFHIu3R4k,https://www.youtube.com/watch?v=d-AAbkAh3W8,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Cell+Signaling/pdf/CELL+SIG+LIVE+LEC+11+PDF.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+July+Batch+/Cell+Signaling+%26++Immunology+/video/CELL+SIG+LIVE+LEC+11+ANTIGENS.mp4
