topic_videos/0/TITLE,topic_videos/0/URL,topic_videos/0/URL2,topic_videos/0/EBOOK_URL,topic_videos/0/TMP_VIDEO_URL
L01 : Introduction Of Dev Bio,https://www.youtube.com/watch?v=j5fFHHRJKq0,https://www.youtube.com/watch?v=K7ad2fX3F-k,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Developmental+Biology/pdf/DEV+BIO+LECTURE+1+PDF.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Developmental+Biology/video/DEV+BIO+LIVE+LEC+1+INTRODUCTION+OF+DEV+BIO.mp4 
L02 : Fate MAP Commitment,https://www.youtube.com/watch?v=3IW08n0WJR8,https://www.youtube.com/watch?v=aCrwjAgtJs8,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Developmental+Biology/pdf/DEV+BIO+LIVE+LEC+2+PDF.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Developmental+Biology/video/DEV+BIO+LIVE+LEC+2+FATE+MAP+COMMITMENT.mp4 
L03 : Autonomous & Conditional Specification,https://www.youtube.com/watch?v=9y5lH7BY8i0,https://www.youtube.com/watch?v=d40y4mB0sNo,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Developmental+Biology/pdf/DEV+BIO+LIVE+LEC+3+PDF.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Developmental+Biology/video/DEV+BIO+LIVE+LEC+3+AUTONOMOUS+%26+CONDITIONAL+SPECIFICATION.mp4 
L04 : Syncytial Specification & Stem Cells,https://www.youtube.com/watch?v=UyeJ4tXQ58Q,https://www.youtube.com/watch?v=fTTCjUeiZjk,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Developmental+Biology/pdf/DEV+BIO+LIVE+LEC+4+PDF.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Developmental+Biology/video/DEV+BIO+LIVE+LEC+4+SYNCYTIAL+SPECIFICATION+%26+STEM+CELLS.mp4 
L05 : Stem Cell & Morphogenesis,https://www.youtube.com/watch?v=jdiTX-rz6ro,https://www.youtube.com/watch?v=teK-KfRSMtU,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Developmental+Biology/pdf/DEV+BIO+LIVE+LEC+5+PDF.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Developmental+Biology/video/DEV+BIO+LIVE+LEC+5+STEM+CELL+%26+MORPHOGENESIS.mp4 
L06 : Morphogenesis & Gametogenesis,https://www.youtube.com/watch?v=-KWUVVbMvv4,https://www.youtube.com/watch?v=OEo4w_WszXo,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Developmental+Biology/pdf/DEV+BIO+LIVE+LEC+6+PDF.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Developmental+Biology/video/DEV+BIO+LIVE+LEC+6+MORPHOGENESIS+%26+GAMETOGENESIS.mp4 
L07: Gametogenesis,https://www.youtube.com/watch?v=SBXLA10gYKs,https://www.youtube.com/watch?v=32G-KmPeww8,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Developmental+Biology/pdf/DEV+BIO+LIVE+LEC+7+PDF.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Developmental+Biology/video/DEV+BIO+LIVE+LEC+7+GAMETOGENESIS.mp4 
L08 : External Fertilization,https://www.youtube.com/watch?v=UQWV1xhwbjo,https://www.youtube.com/watch?v=42l5dCSmuGo,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Developmental+Biology/pdf/DEV+BIO+LIVE+LEC+8+PDF.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Developmental+Biology/video/DEV+BIO+LIVE+LEC+8+EXTERNAL+FERTILIZATION.mp4 
L09 : Internal Fertilization,https://www.youtube.com/watch?v=Q7C-EZXVN6U,https://www.youtube.com/watch?v=nctHi0bw4HE,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Developmental+Biology/pdf/DEV+BIO+LIVE+LEC+9+PDF.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Developmental+Biology/video/DEV+BIO+LIVE+LEC+9+INTERNAL+FERTILIZATION.mp4 
L10 : Cleavage,https://www.youtube.com/watch?v=6dpdR-2EXKo,https://www.youtube.com/watch?v=mnomQtn_BF8,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Developmental+Biology/pdf/DEV+BIO+LIVE+LEC+10+PDF.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Developmental+Biology/video/DEV+BIO+LIVE+LEC+10+CLEAVAGE.mp4 
