topic_videos/0/TITLE,topic_videos/0/URL,topic_videos/0/URL2,topic_videos/0/EBOOK_URL,topic_videos/0/TMP_VIDEO_URL
L01 : Circulatory System part 1,https://www.youtube.com/watch?v=Eook_C5y38Q,https://www.youtube.com/watch?v=qBjAUi8HyT8,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Animal+Physiology/pdf/animal+physio+live+1.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Animal+Physiology/video/animal+physio+live+l01+part+1.mp4 
L01 : Circulatory System part 2,https://www.youtube.com/watch?v=wwm4FQF9QSg,https://www.youtube.com/watch?v=Gg7VHmfhdig,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Animal+Physiology/pdf/animal+physio+live+1.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Animal+Physiology/video/animal+physio+live+l01+part+2.mp4 
L02 : hematopoesis,https://www.youtube.com/watch?v=VeoZAOhxA-c,https://www.youtube.com/watch?v=CwxtI3KkawI,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Animal+Physiology/pdf/animal+physio+live+l02.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Animal+Physiology/video/animal+physio+live+l03+hemostasis.mp4 
L03 :  hemostasis,https://www.youtube.com/watch?v=jTHRFI1wa-0,https://www.youtube.com/watch?v=VJSs75yBjSc,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Animal+Physiology/pdf/Animal+physio+live++l03+hemostasis+and+blood+group.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Animal+Physiology/video/animal+physio+live+l03+hemostasis.mp4 
L04 : Cardiac Cycle,https://www.youtube.com/watch?v=KopEQwg7dd4,https://www.youtube.com/watch?v=kvgLndW-KQ4,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Animal+Physiology/pdf/ANIMAL+PHYSIO+LIVE+L04+CARDIAC+CYCLE.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Animal+Physiology/video/ANIMAL+PHYSIO+LIVE+L04+CARDIAC+CYCLE.mp4 
L05 : Electrical Activity Of Heart,https://www.youtube.com/watch?v=_PYz9PbPLPQ,https://www.youtube.com/watch?v=3eqgoe6yZCE,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Animal+Physiology/pdf/Animal+physio+live+l05+electrical+activity+of+heart.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Animal+Physiology/video/ANIMAL+PHYSIO+LIVE+L05+ELECTRICAL+ACTIVITY+OF+HEART.mp4 
L06 : Regulation Of S A Node,https://www.youtube.com/watch?v=pQnwOIqOMaQ,https://www.youtube.com/watch?v=TGgvP1AwnR0,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Animal+Physiology/pdf/ANIMAL+PHYSIO+LIVE+L06+Regulation+by+S.A.+Node+and+blood+pressure+control.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Animal+Physiology/video/animal+physio+live+l06+regulation+of+s+a+node.mp4 
L07 : Ecg,https://www.youtube.com/watch?v=YcrPGPlH9V8,https://www.youtube.com/watch?v=9rJEIcWBxK4,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Animal+Physiology/pdf/animal+physio+LIVE+L07++ECG.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Animal+Physiology/video/animal+physio+live+l07+ECG.mp4 
L08 : Vascular Blood Flow And Cardio Vascular Disease,https://www.youtube.com/watch?v=qDsRO1NiB2k,https://www.youtube.com/watch?v=VMR4UvSRjgA,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Animal+Physiology/pdf/Animal+physio+live++l08+vascular+blood+regulation+and+cardiovascular+disease.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Animal+Physiology/video/animal+physio+live+l08+vascular+blood+flow+and+cardio+vascular+disease.mp4 
L09 : Respiratory System Breathing,https://www.youtube.com/watch?v=NY6ifjRz5wg,https://www.youtube.com/watch?v=BMvocjtB_lk,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Animal+Physiology/pdf/ANIMAL+SYSTEM+LIVE+L09+Respiratory+system.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Animal+Physiology/video/ANIMAL+PHYSIO+LIVE+L09+RESPIRATORY+SYSTEM+breathing.mp4 
