topic_videos/0/TITLE,topic_videos/0/URL,topic_videos/0/URL2,topic_videos/0/EBOOK_URL,topic_videos/0/TMP_VIDEO_URL
L01 : Introduction Of Genetics,https://www.youtube.com/watch?v=1iC76EFBLdg,https://www.youtube.com/watch?v=5hiT-K16uWg,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/JUNE+2020+BATCH/GENETICS/PDF/L01+Genetics.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+July+Batch+/genetics/VIDEO/L01+GENETICS+LIVE+INTRODUCTION+OF+GENETICS.mp4
L02 : Monohybrid And Dihybrid Cross,https://www.youtube.com/watch?v=3SRuWKcSaGo,https://www.youtube.com/watch?v=a0OMcopKcrE,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Genetics/pdf/L02++Monohybrid+And+Dihybrid+Cross.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+July+Batch+/genetics/VIDEO/GENETICS+L02+ENGLISH+MONOHYBRID+AND+DIHYBRID+CROSS.mp4
L03: Monohybrid And Dihybrid Cross,https://www.youtube.com/watch?v=6VEJQw6MUY8,https://www.youtube.com/watch?v=1um3V-o5WiY,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Genetics/pdf/L03+Monohybrid+And+Dihybrid+Cross+(1).pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+July+Batch+/genetics/VIDEO/L03+GENETICS+LIVE+MONOHYBRID+AND+DIHYBRID+CROSS.mp4
L04 : Gene Gene Interaction,https://www.youtube.com/watch?v=W_BFz92hRvo,https://www.youtube.com/watch?v=b4_y3CeH2Vw,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Genetics/pdf/L04++Gene+Gene+Interaction+(1).pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+July+Batch+/genetics/VIDEO/L04+GENETICS+LIVE+GENE+GENE+INTERACTION.mp4
L05 : Complementation Test And Sex Linked Inheritance,https://www.youtube.com/watch?v=Ofkq-W_xTuM,https://www.youtube.com/watch?v=T07kbj7O8bo,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Genetics/pdf/L05++Complementation+Test+And+Sex+Linked+Inheritance.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+July+Batch+/genetics/VIDEO/L05+COMPLEMENTATION+TEST+AND+SEX+LINKED+INHERITANCE.mp4
L06 : Linkage And Mapping,https://www.youtube.com/watch?v=fYc0wILPspY,https://www.youtube.com/watch?v=7SqYFKnFaOc,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Genetics/pdf/L06++Linkage+And+Mapping.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+July+Batch+/genetics/VIDEO/L06+LINKAGE+AND+MAPPING.mp4
L07 : Mapping In Haploids,https://www.youtube.com/watch?v=4ROCr4Z9qMA,https://www.youtube.com/watch?v=4VaLsyq_B28,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Genetics/pdf/L07+Mapping+In+Haploids.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+July+Batch+/genetics/VIDEO/L07+MAPPING+IN+HAPLOIDS.mp4
L08 : Probability And Pedigree,https://www.youtube.com/watch?v=IaSizUjwV_0,https://www.youtube.com/watch?v=sM378Dr92Qw,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Genetics/pdf/L08++Probability+And+Pedigree.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+July+Batch+/genetics/VIDEO/L08+PROBABILITY+AND+PEDIGREE.mp4
L09 : Extrachromosomal Inheritance,https://www.youtube.com/watch?v=lbKoz1x9vsY,https://www.youtube.com/watch?v=si01t43d1wE,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Genetics/pdf/L09++Extrachromosomal+Inheritance.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+July+Batch+/genetics/VIDEO/L09+EXTRACHROMOSOMAL+INHERITANCE.mp4
L11 : Polygenic Inheritance,https://www.youtube.com/watch?v=PH9oDTbHyw4,https://www.youtube.com/watch?v=WFehULykmo0,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Genetics/pdf/L11++Polygenic+Inheritance.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+July+Batch+/genetics/VIDEO/L11+POLYGENIC+INHERITANCE.mp4
L12 : Genetics Mutation,https://www.youtube.com/watch?v=VWoJINafxEE,https://www.youtube.com/watch?v=f0-xVhqQLjo,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Genetics/pdf/L12++Genetics+Mutation.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+July+Batch+/genetics/VIDEO/L12+Genetics+Mutation.mp4
