topic_videos/0/TITLE,topic_videos/0/URL,topic_videos/0/URL2,topic_videos/0/EBOOK_URL,topic_videos/0/TMP_VIDEO_URL
L01 : Introduction ,https://www.youtube.com/watch?v=Mrg-RQssjUc,https://www.youtube.com/watch?v=Kss_jkZ04T4,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Diversity+of+life+form/pdf/INTRODUCTION+OF+DIVERSITY+IN+LIFE+FORMS+++.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+July+Batch+/Diversity+of+life+form+/video/LECT+01+Introduction+to+diversity+in+life+fomrs.mp4
L02 : Nomenclature,https://www.youtube.com/watch?v=_COse_ZSIvU,https://www.youtube.com/watch?v=_COse_ZSIvU,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Diversity+of+life+form/pdf/LECT+02++NOMENCLATURE+.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+July+Batch+/Diversity+of+life+form+/video/LECT+02+NOMENCLATURE.mp4
L03 : Classifications,https://www.youtube.com/watch?v=BpkPUhpF5PU,https://www.youtube.com/watch?v=mE8lEeNVFC8,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Diversity+of+life+form/pdf/Lect+3++Classification++.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+July+Batch+/Diversity+of+life+form+/video/Lect+03+Classifications.mp4
L04 : Phenetics And Cladistics,https://www.youtube.com/watch?v=WX6rO4OVrRI,https://www.youtube.com/watch?v=WX6rO4OVrRI,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Diversity+of+life+form/pdf/Lect+4++Phenetics+%2C+Cladistics++.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Diversity+of+life+form/video/LECT+04+PHENETICS+AND+CLADISTICS.mp4
L05 : Bacteria And Archaea,https://www.youtube.com/watch?v=PjKGcgm4biY,https://www.youtube.com/watch?v=PjKGcgm4biY,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Diversity+of+life+form/pdf/Lect+5++Bacteria+%2C+Archea+++.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Diversity+of+life+form/video/LECT+05+BACTERIA+AND+ARCHAEA.mp4
L06 : Protista,https://www.youtube.com/watch?v=XDjJ-OGXqeI,https://www.youtube.com/watch?v=XDjJ-OGXqeI,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Diversity+of+life+form/pdf/Lect+6++Protista++++PDF.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Diversity+of+life+form/video/LECT+06+PROTISTA(1).mp4
L07 : Fungi,https://www.youtube.com/watch?v=pn0U4vtw1xs,https://www.youtube.com/watch?v=pn0U4vtw1xs,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Diversity+of+life+form/pdf/Lect+7++Fungi++++.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Diversity+of+life+form/video/LECT+07+FUNGI.mp4
L08 : Algae,https://www.youtube.com/watch?v=fYELtzhWdRc,https://www.youtube.com/watch?v=fYELtzhWdRc,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Diversity+of+life+form/pdf/Lect+8++Algae++++.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Diversity+of+life+form/video/LECT++8+ALGAE.mp4
"L09 : Bryophyte ,1072087,https://www.youtube.com/watch?v=0z4g15Ebw7g,,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Diversity+of+life+form/pdf/Lect+9++Bryophyte++++PDF.pdf
"L10 : Gymnospermae,1072877,https://www.youtube.com/watch?v=N7FRYh1dV7U,,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Diversity+of+life+form/pdf/Lect+10++Gymnosperms+and+angiosperms+++++PDF.pdf
L11 : Angiosperma Phylogeny Group ,https://www.youtube.com/watch?v=7wLbqteRt1A&feature=youtu.be,,,
L11 : Angiosperma Phylogeny Group,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Diversity+of+life+form/video/LECT+12+ANGIOSPERMA+PHYLOGENY+GROUP.mp4,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Diversity+of+life+form/video/LECT+12+ANGIOSPERMA+PHYLOGENY+GROUP.mp4,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Diversity+of+life+form/pdf/Lect+11++Angiosperms++++++copy+(2).pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Diversity+of+life+form/video/LECT+12+ANGIOSPERMA+PHYLOGENY+GROUP.mp4
L12 : Animal,https://www.youtube.com/watch?v=3_-CAJL3TtU,https://www.youtube.com/watch?v=3_-CAJL3TtU,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Diversity+of+life+form/pdf/Lect+12+++Animals+classification+++++PDF.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Diversity+of+life+form/video/LECT+12+ANIMAL.mp4
L13 : Basal Animal Groups,https://www.youtube.com/watch?v=2DisH1crbcY,https://www.youtube.com/watch?v=2DisH1crbcY,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Diversity+of+life+form/pdf/Lect+13+++Animals+classification+.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Diversity+of+life+form/video/LECT+13+BASAL+ANIMAL+GROUPS.mp4
L14 :  Animal Classification,https://www.youtube.com/watch?v=8-iCyFvciYU,https://www.youtube.com/watch?v=8-iCyFvciYU,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Diversity+of+life+form/pdf/Lect+14+++Animals+classification+.pdf,https://ifas-video.s3.ap-south-1.amazonaws.com/LIFE+SCIENCE/26+JULY+NEW+FOLDER/Diversity+of+life+form/video/LECT+14+ANIMAL+CLASSIFICATION.mp4
